schema_name,table_name,table_owner,has_indexes,has_rules,has_triggers,row_security_enabled,table_comment,estimated_rows_inserted,estimated_rows_updated,estimated_rows_deleted,estimated_live_rows,estimated_dead_rows,total_size,table_size
auth,audit_log_entries,supabase_auth_admin,true,false,false,true,"Auth: Audit trail for user actions.",1674,0,0,1628,1,"568 kB","408 kB"
auth,flow_state,supabase_auth_admin,true,false,true,true,"stores metadata for pkce logins",5,0,0,4,1,"80 kB","8192 bytes"
auth,identities,supabase_auth_admin,true,false,true,true,"Auth: Stores identities associated to a user.",117,3,67,97,20,"128 kB","32 kB"
auth,instances,supabase_auth_admin,true,false,false,true,"Auth: Manages users across multiple sites.",0,0,0,0,0,"16 kB","0 bytes"
auth,mfa_amr_claims,supabase_auth_admin,true,false,true,true,"auth: stores authenticator method reference claims for multi factor authentication",304,0,181,123,23,"88 kB","16 kB"
auth,mfa_challenges,supabase_auth_admin,true,false,true,true,"auth: stores metadata about challenge requests made",0,0,0,0,0,"24 kB","0 bytes"
auth,mfa_factors,supabase_auth_admin,true,false,true,true,"auth: stores metadata about factors",0,0,0,0,0,"56 kB","0 bytes"
auth,oauth_clients,supabase_auth_admin,true,false,false,false,"",0,0,0,0,0,"40 kB","0 bytes"
auth,one_time_tokens,supabase_auth_admin,true,false,true,true,"",285,0,283,2,27,"144 kB","8192 bytes"
auth,refresh_tokens,supabase_auth_admin,true,false,true,true,"Auth: Store of tokens used to refresh JWT tokens once they expire.",756,452,491,265,39,"232 kB","48 kB"
auth,saml_providers,supabase_auth_admin,true,false,true,true,"Auth: Manages SAML Identity Provider connections.",0,0,0,0,0,"32 kB","0 bytes"
auth,saml_relay_states,supabase_auth_admin,true,false,true,true,"Auth: Contains SAML Relay State information for each Service Provider initiated login.",0,0,0,0,0,"40 kB","0 bytes"
auth,sessions,supabase_auth_admin,true,false,true,true,"Auth: Stores session data associated to a user.",304,456,203,123,65,"144 kB","40 kB"
auth,sso_domains,supabase_auth_admin,true,false,true,true,"Auth: Manages SSO email address domain mapping to an SSO Identity Provider.",0,0,0,0,0,"32 kB","0 bytes"
auth,sso_providers,supabase_auth_admin,true,false,true,true,"Auth: Manages SSO identity provider information; see saml_providers for SAML.",0,0,0,0,0,"32 kB","0 bytes"
auth,users,supabase_auth_admin,true,false,true,true,"Auth: Stores user login data within a secure schema.",145,1957,45,90,40,"296 kB","96 kB"
public,event_guests,postgres,true,false,true,true,"Unused indexes removed for better write performance",199,1371,45,143,5,"304 kB","64 kB"
public,event_schedule_items,postgres,true,false,true,true,"",7,4,0,7,4,"48 kB","8192 bytes"
public,events,postgres,true,false,false,true,"",17,18,10,3,19,"56 kB","8192 bytes"
public,index_usage_snapshots,postgres,true,false,false,false,"Daily snapshots of pg_stat_user_indexes for trend analysis. Used to identify unused indexes over time.",321,0,0,321,0,"88 kB","40 kB"
public,media,postgres,true,false,true,true,"",0,0,0,0,0,"40 kB","0 bytes"
public,message_deliveries,postgres,true,false,true,true,"Unused indexes removed for better write performance",1482,82,40,1441,9,"1128 kB","224 kB"
public,messages,postgres,true,false,true,true,"",142,50,31,111,6,"208 kB","24 kB"
public,rum_events,postgres,true,false,false,true,"",164,0,0,164,0,"104 kB","24 kB"
public,scheduled_messages,postgres,true,false,true,true,"",52,108,12,45,58,"152 kB","32 kB"
public,user_link_audit,postgres,true,false,true,true,"",1067,7,1067,0,0,"176 kB","0 bytes"
public,user_link_audit_purge_runs,postgres,true,false,false,false,"PII-free log of audit purge operations. Tracks when purges ran and how many rows deleted.",1,0,0,1,0,"24 kB","8192 bytes"
public,users,postgres,true,false,true,true,"Auth: Stores user login data within a secure schema.",147,117,24,81,44,"296 kB","96 kB"
realtime,messages,supabase_realtime_admin,true,false,false,true,"",0,0,0,0,0,"208 kB","24 kB"
realtime,subscription,supabase_admin,true,false,true,false,"",2771,168,2770,0,27,"200 kB","64 kB"
storage,buckets,supabase_storage_admin,true,false,true,true,"",2,3,0,2,3,"48 kB","8192 bytes"
storage,migrations,supabase_storage_admin,true,false,false,true,"",26,0,0,26,0,"40 kB","8192 bytes"
storage,objects,supabase_storage_admin,true,false,true,true,"",10,0,2,3,7,"80 kB","8192 bytes"
storage,s3_multipart_uploads,supabase_storage_admin,true,false,true,true,"",0,0,0,0,0,"24 kB","0 bytes"
storage,s3_multipart_uploads_parts,supabase_storage_admin,true,false,true,true,"",0,0,0,0,0,"16 kB","0 bytes"
supabase_migrations,schema_migrations,postgres,true,false,false,false,"",234,0,6,228,6,"24 kB","8192 bytes"
supabase_migrations,seed_files,postgres,true,false,false,false,"",0,0,0,0,0,"16 kB","0 bytes"
vault,secrets,supabase_admin,true,false,false,false,"Table with encrypted `secret` column for storing sensitive information on disk.",0,0,0,0,0,"24 kB","0 bytes"
