table_name,seq_scan,seq_tup_read,idx_scan,n_tup_ins,n_tup_upd,n_tup_del,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
subscription,113899,4567,14211,2765,168,2764,0,52,0,102
objects,122209,257426,53,10,0,2,0,0,0,0
events,68145,156357,46769,17,18,10,0,0,1,0
scheduled_messages,13326,57185,90844,52,108,12,0,1,1,3
event_guests,15390,238889,17554,199,1371,45,0,10,2,18
users,18656,189812,8866,147,117,24,0,1,1,4
users,13359,106936,4074,145,1956,45,0,13,0,36
messages,1500,110223,14111,141,50,31,0,1,2,3
sessions,10415,75622,2814,304,455,203,0,3,0,17
identities,5001,137479,7186,117,3,67,0,0,0,2
mfa_amr_claims,9486,131269,2118,304,0,181,0,3,0,9
mfa_factors,277,0,10875,0,0,0,0,0,0,0
message_deliveries,968,192318,7071,1481,82,40,0,2,2,12
refresh_tokens,1363,38474,933,755,451,491,0,13,0,28
schema_migrations,1044,43743,54,56,0,0,0,0,0,1
one_time_tokens,869,1349,83,285,0,283,0,5,0,11
media,236,0,312,0,0,0,0,0,0,0
buckets,392,562,44,2,3,0,0,0,0,0
event_schedule_items,91,564,328,7,4,0,0,0,0,0
secrets,416,0,0,0,0,0,0,0,0,0
