table_name,column_name,foreign_table,foreign_column,constraint_name
event_guests,event_id,events,id,event_guests_event_id_fkey
event_guests,user_id,users,id,event_guests_user_id_fkey
event_schedule_items,event_id,events,id,event_schedule_items_event_id_fkey
events,host_user_id,users,id,events_host_user_id_fkey
media,event_id,events,id,media_event_id_fkey
media,uploader_user_id,users,id,media_uploader_user_id_fkey
message_deliveries,guest_id,event_guests,id,message_deliveries_guest_id_fkey
message_deliveries,message_id,messages,id,message_deliveries_message_id_fkey
message_deliveries,response_message_id,messages,id,message_deliveries_response_message_id_fkey
message_deliveries,scheduled_message_id,scheduled_messages,id,message_deliveries_scheduled_message_id_fkey
message_deliveries,user_id,users,id,message_deliveries_user_id_fkey
messages,event_id,events,id,messages_event_id_fkey
messages,scheduled_message_id,scheduled_messages,id,messages_scheduled_message_id_fkey
messages,sender_user_id,users,id,messages_sender_user_id_fkey
scheduled_messages,event_id,events,id,scheduled_messages_event_id_fkey
scheduled_messages,sender_user_id,users,id,scheduled_messages_sender_user_id_fkey
user_link_audit,event_id,events,id,user_link_audit_event_id_fkey
user_link_audit,linked_user_id,users,id,user_link_audit_linked_user_id_fkey
user_link_audit,matched_guest_id,event_guests,id,user_link_audit_matched_guest_id_fkey
